Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,PromptMode,LevelMode
35328,35328,e1_kf,18,failure,insight,correct,,
35328,35328,e1_kf,19,failure,insight,correct,,
35328,35328,e1_kf,20,failure,insight,correct,,
35328,27659,e1_kf,21,failure,insight,correct,,
27659,80615,e1_kf,22,failure,insight,correct,,
80615,61073,e1_kf,23,failure,insight,correct,,
61073,16669,e1_kf,24,failure,insight,correct,,
16669,60721,e1_kf,25,failure,insight,correct,,
60721,35328,e1_kf,26,failure,insight,correct,,
35328,35328,e1_kf,27,failure,insight,correct,,
35328,35328,e1_kf,28,failure,insight,correct,,
35328,35328,e1_kf,29,failure,insight,correct,,
35328,91163,e1_kf,30,failure,insight,correct,,
91163,14940,e1_kf,31,failure,insight,correct,,
14940,35328,e1_kf,32,failure,insight,correct,,
35328,35328,e1_kf,33,failure,insight,correct,,
35328,14940,e1_kf,34,failure,insight,correct,,
14940,35328,e1_kf,35,failure,insight,correct,,
35328,14940,e1_kf,36,failure,insight,correct,,
14940,91163,e1_kf,37,failure,insight,correct,,
91163,14940,e1_kf,38,failure,insight,correct,,
14940,35328,e1_kf,39,failure,insight,correct,,
35328,14940,e1_kf,40,failure,insight,correct,,
14940,14255,e1_kf,41,failure,,,,
71558,10002,e1_kf,0,failure,insight,correct,,
10002,83659,e1_kf,1,failure,insight,correct,,
83659,56516,e1_kf,2,failure,insight,correct,,
56516,62350,e1_kf,3,failure,insight,correct,,
62350,62350,e1_kf,4,failure,insight,correct,,
62350,62350,e1_kf,5,failure,insight,correct,,
62350,62350,e1_kf,6,failure,insight,correct,,
62350,62350,e1_kf,7,failure,insight,correct,,
62350,62350,e1_kf,8,failure,insight,correct,,
62350,62350,e1_kf,9,failure,insight,correct,,
62350,62350,e1_kf,10,failure,insight,correct,,
62350,62350,e1_kf,11,failure,insight,correct,,
62350,62350,e1_kf,12,failure,insight,correct,,
62350,62350,e1_kf,13,failure,insight,correct,,
62350,62350,e1_kf,14,failure,insight,correct,,
62350,62350,e1_kf,15,failure,insight,correct,,
62350,62350,e1_kf,16,failure,insight,correct,,
62350,62350,e1_kf,17,failure,insight,correct,,
62350,62350,e1_kf,18,failure,insight,correct,,
62350,34803,e1_kf,19,failure,insight,correct,,
34803,53776,e1_kf,20,failure,insight,correct,,
53776,62350,e1_kf,21,failure,insight,correct,,
62350,62350,e1_kf,22,failure,insight,correct,,
62350,62350,e1_kf,23,failure,insight,correct,,
62350,62350,e1_kf,24,failure,insight,correct,,
62350,62350,e1_kf,25,failure,insight,correct,,
62350,62350,e1_kf,26,failure,insight,correct,,
62350,66289,e1_kf,27,failure,insight,correct,,
66289,62350,e1_kf,28,failure,insight,correct,,
62350,62350,e1_kf,29,failure,insight,correct,,
62350,62350,e1_kf,30,failure,insight,correct,,
62350,56302,e1_kf,31,failure,insight,correct,,
56302,62350,e1_kf,32,failure,insight,correct,,
62350,62350,e1_kf,33,failure,insight,correct,,
62350,62350,e1_kf,34,failure,insight,correct,,
62350,62350,e1_kf,35,failure,insight,correct,,
62350,22817,e1_kf,36,failure,unknown-correct,correct,,
22817,62350,e1_kf,37,failure,insight,correct,,
62350,97566,e1_kf,38,failure,insight,correct,,
97566,62350,e1_kf,39,failure,insight,correct,,
62350,66289,e1_kf,40,failure,insight,correct,,
66289,27749,e1_kf,41,failure,insight,correct,,
27749,68580,e1_kf,42,failure,,,,
50121,38632,e1_kf,0,failure,insight,correct,,
38632,11991,e1_kf,1,failure,insight,correct,,
11991,22412,e1_kf,2,failure,insight,correct,,
22412,42653,e1_kf,3,failure,insight,correct,,
